"STOP_NAME","MAP_ID","X","Y","avg_weekday_rides","avg_saturday_rides","avg_sunday.holiday_rides","monthtotal"
"Indiana (63rd-bound)",40300,41.821732,-87.621371,"284.9","175.3","143","7,542"
"Kostner (Loop-bound)",40600,41.853751,-87.733258,"225.4","124.8","102.5","5,847"
"Kedzie (Loop-bound)",41180,41.965996,-87.708821,"1,021","797","579.2","28,105"
"Dempster-Skokie (Howard-bound)",40140,42.038951,-87.751919,"677.7","307","269.2","17,074"
"Morgan (Harlem-54th/Cermak-bound)",41510,41.885586,-87.652193,"2,286.1","1,902.5","1,368.7","63,831"
"Thorndale (95th-bound)",40880,41.990259,-87.659076,"1,337.8","968.5","721.3","36,295"
"Cicero (O'Hare-bound)",40970,41.871574,-87.745154,"596.8","373.3","301.2","15,833"
"Oakton-Skokie (Dempster-Skokie-bound)",41680,42.02624348,-87.74722084,"440.3","157.8","135.8","10,693"
"Chicago (Loop-bound)",40710,41.89681,-87.635924,"3,256.6","1,825.5","1,184.7","82,799"
"43rd (63rd-bound)",41270,41.816462,-87.619021,"423.1","242.8","201.2","11,063"
"Pulaski (Loop-bound)",40150,41.853732,-87.724311,"612.8","443.8","356.7","16,783"
"Ashland (Harlem-54th/Cermak-bound)",40170,41.885269,-87.666969,"1,357","818","573.8","35,212"
"Cottage Grove (Harlem-bound)",40720,41.780309,-87.605857,"397.5","252.8","195.5","10,531"
"Sox-35th (95th-bound)",40190,41.831191,-87.630636,"1,441","845","674.2","37,686"
"Midway (Arrival)",40930,41.78661,-87.737875,"4,021.8","1,887.5","1,778.2","102,677"
"Damen/Milwaukee (Forest Pk-bound)",40590,41.909744,-87.677437,"2,613.7","2,073","1,515.5","72,273"
"Halsted (Loop-bound)",41130,41.84678,-87.648088,"1,376","588","463","34,026"
"Monroe (95th-bound)",41090,41.880745,-87.627696,"2,919.7","1,495.3","1,131.8","74,085"
"Clark/Lake (Outer Loop)",40380,41.885737,-87.630886,"6,802","2,811","2,357.3","168,229"
"Central (Linden-bound)",41250,42.063987,-87.685617,"396.5","199.8","156.2","10,062"
"Pulaski (63rd-bound)",40030,41.885412,-87.725404,"656.2","428.8","337.8","17,523"
"Ridgeland (Harlem-bound)",40610,41.887159,-87.783661,"561.7","219.8","180.2","13,756"
"Howard (Terminal arrival)",40900,42.019063,-87.672892,"2,591.5","1,854","1,505","70,868"
"Linden (Howard-Loop-bound)",41050,42.073153,-87.69073,"374.9","184","146.5","9,488"
"Davis (Linden-bound)",40050,42.04771,-87.683543,"1,418.8","1,076.5","729.2","38,476"
"Garfield (Howard-bound)",41170,41.79542,-87.631157,"1,273.3","972","664","34,611"
"Washington (Forest Pk-bound)",40370,41.883164,-87.62944,"5,283.5","2,977.3","2,330","136,843"
"North/Clybourn (95th-bound)",40650,41.910655,-87.649177,"2,385.5","2,319.5","1,650.7","69,277"
"Grand/State (95th-bound)",40330,41.891665,-87.628021,"3,658.2","4,018.8","3,429.8","113,477"
"Wilson (Howard-bound)",40540,41.964273,-87.657588,"4,098.1","3,136.8","2,258","112,155"
"Oak Park (Forest Pk-bound)",40180,41.872108,-87.791602,"580.8","216.8","175","14,113"
"35th/Archer (Midway-bound)",40120,41.829353,-87.680622,"1,462.7","720","536","36,813"
"South Blvd (Linden-bound)",40840,42.027612,-87.678329,"339.7","191.5","148.2","8,788"
"Pulaski (Harlem-bound)",40030,41.885412,-87.725404,"656.2","428.8","337.8","17,523"
"Cicero (Forest Pk-bound)",40970,41.871574,-87.745154,"596.8","373.3","301.2","15,833"
"Jackson/State (Howard-bound)",40560,41.878153,-87.627596,"3,460","1,458.8","1,269","86,110"
"Argyle (95th-bound)",41200,41.973453,-87.65853,"2,027.6","1,997.3","1,320","58,489"
"Irving Park (Kimball-bound)",41460,41.954521,-87.674868,"1,358.4","767.5","506.5","34,636"
"Roosevelt (Loop-Harlem-bound)",41400,41.867405,-87.62659,"4,981.7","4,096.5","3,585.2","142,512"
"Midway (Loop-bound)",40930,41.78661,-87.737875,"4,021.8","1,887.5","1,778.2","102,677"
"Dempster-Skokie (Arrival)",40140,42.038951,-87.751919,"677.7","307","269.2","17,074"
"Francisco (Kimball-bound)",40870,41.966046,-87.701644,"773.5","442","294","19,776"
"LaSalle/Van Buren (Outer Loop)",40160,41.8768,-87.631739,"1,370","342","234.2","31,542"
"Harlem (O'Hare Branch) (Forest Pk-bound)",40750,41.98227,-87.8089,"1,324.3","583","469.2","32,958"
"Belmont (O'Hare Branch) (Forest Pk-bound)",40060,41.938132,-87.712359,"2,617.3","1,560.8","1,183","68,304"
"California (Loop-bound)",40440,41.854109,-87.694774,"792.9","442.5","342.5","20,475"
"Western (Loop-bound)",40740,41.854225,-87.685129,"680.8","415.5","317.5","17,864"
"69th (95th-bound)",40990,41.768367,-87.625724,"1,731.9","1,260.3","984.2","47,316"
"Washington/Wells (Inner Loop)",40730,41.882695,-87.63378,"3,916","574.8","459.8","87,294"
"Harrison (95th-bound)",41490,41.874039,-87.627479,"1,691.5","1,385.8","1,038","47,292"
"Clinton (Loop-63rd-bound)",41160,41.885678,-87.641782,"2,008.2","932.5","638.3","49,732"
"Sheridan (Loop-bound)",40080,41.953775,-87.654929,"2,134.6","1,575.8","1,150.5","58,032"
"Belmont (Loop-bound)",41320,41.939751,-87.65338,"5,423.6","4,890.3","3,594.3","155,023"
"Central (Howard-Loop-bound)",41250,42.063987,-87.685617,"396.5","199.8","156.2","10,062"
"Linden (Linden-bound)",41050,42.073153,-87.69073,"374.9","184","146.5","9,488"
"Kedzie (Midway-bound)",41150,41.804236,-87.704406,"1,953","973","698.7","49,098"
"Kimball (Loop-bound)",41290,41.967901,-87.713065,"2,172.2","1,495","1,085.3","58,108"
"63rd (95th-bound)",40910,41.780536,-87.630952,"969.9","684","647.7","26,989"
"Fullerton (95th-bound)",41220,41.925051,-87.652866,"7,511.2","4,747.5","3,748.7","199,218"
"Addison (Loop-bound)",41440,41.947028,-87.674642,"1,064.7","529.3","364.5","26,663"
"Howard (95th-Bound)",40900,42.019063,-87.672892,"2,591.5","1,854","1,505","70,868"
"47th (95th-bound)",41230,41.810318,-87.63094,"1,127.4","774","621","30,497"
"Cermak-McCormick Place (63rd-bound)",41690,41.853115,-87.626402,"704","701","462.5","20,362"
"Kedzie (Harlem-bound)",41070,41.884321,-87.706155,"616.1","346","286","16,039"
"Harlem (Forest Pk Branch) (O'Hare-bound)",40980,41.87349,-87.806961,"372.9","169.5","134.7","9,317"
"Ashland/63rd (Harlem-bound)",40290,41.77886,-87.663766,"413.1","255.5","225.2","11,048"
"Ridgeland (63rd-bound)",40610,41.887159,-87.783661,"561.7","219.8","180.2","13,756"
"Oakton-Skokie (Howard-bound)",41680,42.02624348,-87.74722084,"440.3","157.8","135.8","10,693"
"Cottage Grove (Terminal arrival)",40720,41.780309,-87.605857,"397.5","252.8","195.5","10,531"
"Clark/Division (95th-bound)",40630,41.90392,-87.631412,"3,641.4","3,047.5","2,224.7","102,007"
"Loyola (Howard-bound)",41300,42.001073,-87.661061,"2,361.3","2,021","1,376.3","65,929"
"Morgan (Loop-63rd-bound)",41510,41.885586,-87.652193,"2,286.1","1,902.5","1,368.7","63,831"
"Damen (Loop-bound)",40090,41.966286,-87.678639,"1,344.2","793","497","34,383"
"Ashland (Loop-bound)",41060,41.839234,-87.665317,"951.5","480.3","401.2","24,309"
"Adams/Wabash (Outer Loop)",40680,41.879507,-87.626037,"3,625.2","1,556.3","1,198.7","89,546"
"Rosemont (Forest Pk-bound)",40820,41.983507,-87.859388,"2,714.4","1,693.3","1,384","72,079"
"Indiana (Harlem-bound)",40300,41.821732,-87.621371,"284.9","175.3","143","7,542"
"Kostner (54th/Cermak-bound)",40600,41.853751,-87.733258,"225.4","124.8","102.5","5,847"
"Berwyn (Howard-bound)",40340,41.977984,-87.658668,"0","0","0","0"
"Diversey (Kimball-Linden-bound)",40530,41.932732,-87.653131,"2,721.6","1,634","1,045.5","69,963"
"Jefferson Park (O'Hare-bound)",41280,41.970634,-87.760892,"3,329.8","1,834.3","1,496.3","86,240"
"Halsted/63rd (Harlem-bound)",40940,41.778943,-87.644244,"219.9","138","91.8","5,720"
"87th (Howard-bound)",41430,41.735372,-87.624717,"1,503.5","1,009.3","845.5","40,684"
"47th (63rd-bound)",41080,41.809209,-87.618826,"470.3","289.8","226","12,392"
"Chicago (O'Hare-bound)",41410,41.896075,-87.655214,"1,859.3","1,007.3","767.3","47,679"
"Western (Loop-bound)",41480,41.966163,-87.688502,"1,866.8","1,340.3","943.8","50,227"
"Forest Park (Terminal Arrival)",40390,41.874257,-87.817318,"1,144.2","557.5","445.8","28,934"
"California (Forest Pk-bound)",40570,41.921939,-87.69689,"2,302.4","1,555.3","1,089.7","61,110"
"Paulina (Loop-bound)",41310,41.943623,-87.670907,"1,440.7","965","608.8","37,767"
"Quincy/Wells (Inner Loop)",40040,41.878723,-87.63374,"3,530.1","821.3","731.2","81,804"
"Merchandise Mart (Loop-bound)",40460,41.888969,-87.633924,"3,256.2","1,173","747.8","77,559"
"State/Lake (Outer Loop)",40260,41.88574,-87.627835,"5,220.3","3,732.8","2,757.7","141,103"
"Cicero (63rd-bound)",40480,41.886519,-87.744698,"530","359","283.5","14,267"
"Montrose (Forest Pk-bound)",41330,41.961539,-87.743574,"1,092.3","605","491.2","28,305"
"Western (Forest Pk Branch) (O'Hare-bound)",40220,41.875478,-87.688436,"689.6","410.5","332.2","18,116"
"Harrison (Howard-bound)",41490,41.874039,-87.627479,"1,691.5","1,385.8","1,038","47,292"
"Armitage (Kimball-Linden-bound)",40660,41.918217,-87.652644,"2,283","1,387","912","58,964"
"Jarvis (Howard-bound)",41190,42.015876,-87.669092,"784","668.8","486.5","22,057"
"Sheridan (95th-bound)",40080,41.953775,-87.654929,"2,134.6","1,575.8","1,150.5","58,032"
"Harlem (63rd-bound)",40020,41.886848,-87.803176,"1,512.8","904","695.8","39,559"
"Addison (Kimball-bound)",41440,41.947028,-87.674642,"1,064.7","529.3","364.5","26,663"
"Belmont (Howard-bound)",41320,41.939751,-87.65338,"5,423.6","4,890.3","3,594.3","155,023"
"Laramie (Harlem-bound)",40700,41.887163,-87.754986,"531.4","331.8","239.8","13,926"
"Kimball (Terminal arrival)",41290,41.967901,-87.713065,"2,172.2","1,495","1,085.3","58,108"
"69th (Howard-bound)",40990,41.768367,-87.625724,"1,731.9","1,260.3","984.2","47,316"
"State/Lake (Inner Loop)",40260,41.88574,-87.627835,"5,220.3","3,732.8","2,757.7","141,103"
"Monroe (O'Hare-bound)",40790,41.880703,-87.629378,"2,886.1","851.3","713.5","68,294"
"Damen (Loop-bound)",40210,41.854517,-87.675975,"880.2","508","370.3","22,739"
"Pulaski (O'Hare-bound)",40920,41.873797,-87.725663,"787.6","598.3","514.5","22,020"
"Pulaski (Midway-bound)",40960,41.799756,-87.724493,"2,663.6","1,078.8","854.3","65,376"
"35-Bronzeville-IIT (Harlem-bound)",41120,41.831677,-87.625826,"799.6","508","348","20,911"
"Western (54th/Cermak-bound)",40740,41.854225,-87.685129,"680.8","415.5","317.5","17,864"
"Fullerton (Kimball-Linden-bound)",41220,41.925051,-87.652866,"7,511.2","4,747.5","3,748.7","199,218"
"Granville (95th-bound)",40760,41.993664,-87.659202,"1,785.2","1,558.5","1,048.5","50,015"
"Southport (Loop-bound)",40360,41.943744,-87.663619,"1,720.6","1,359.5","900.3","46,972"
"Chicago (95th-bound)",41450,41.896671,-87.628176,"5,589.7","4,667.5","3,542","157,305"
